,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
    (Ara Toplam),59594808000.0,43334970000.0,42735931000.0,38186821000.0,33060849000.0,31592921000.0,25233483000.0,38186821000.0
    (Ara Toplam),59594808000.0,43334970000.0,42735931000.0,38186821000.0,23826916000.0,23140245000.0,14833387000.0,27965693000.0
    (Ara Toplam),40501624000.0,30401577000.0,30707560000.0,27965693000.0,33060849000.0,31592921000.0,25233483000.0,38186821000.0
    (Ara Toplam),40501624000.0,30401577000.0,30707560000.0,27965693000.0,23826916000.0,23140245000.0,14833387000.0,27965693000.0
    Uzun vadeli karşılıklar,1374681000.0,1105229000.0,802323000.0,755478000.0,709157000.0,524269000.0,523809000.0,755478000.0
  Amortisman & İtfa Payları,1845682000.0,1187030000.0,725727000.0,344989000.0,1221994000.0,896951000.0,578332000.0,344989000.0
  Ana Ortaklığa Ait Özkaynaklar,19383483000.0,14812258000.0,15251446000.0,14255463000.0,13820045000.0,12698817000.0,10719989000.0,14255463000.0
  Azınlık Payları,1671732000.0,1035757000.0,244402000.0,233924000.0,203801000.0,206612000.0,160958000.0,233924000.0
  Borç Karşılıkları,2087963000.0,1512447000.0,1451768000.0,1263510000.0,977478000.0,1176978000.0,993557000.0,1263510000.0
  Canlı Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Canlı Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Canlı Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Canlı Varlıklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Devlet Teşvik ve Yardımları,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Devlet Teşvik ve Yardımları,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Devlet Teşvik ve Yardımları,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Devlet Teşvik ve Yardımları,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Değer Artış Fonları,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Diğer Alacaklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Diğer Alacaklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Diğer Alacaklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Diğer Alacaklar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Diğer Borçlar,1245608000.0,1177869000.0,750229000.0,1154461000.0,726074000.0,706743000.0,644631000.0,1154461000.0
  Diğer Borçlar,1245608000.0,1177869000.0,750229000.0,1154461000.0,0.0,0.0,0.0,0.0
  Diğer Borçlar,0.0,0.0,0.0,0.0,726074000.0,706743000.0,644631000.0,1154461000.0
  Diğer Borçlar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Diğer Duran Varlıklar,205214000.0,80521000.0,3089954000.0,101774000.0,83484000.0,232152000.0,148139000.0,101774000.0
